Data,Contatto Connettore Interno,Cavo Connettore Interno,Contatto Connettore Esterno,Cavo Splitter,Tamb Interna,Tamb Esterna
2022-04-14 15:21:20.112400,33.011,33.917,32.027,32.103,27.509,24.247
2022-04-14 15:21:30.468400,32.985,33.896,32.029,32.093,27.48,24.249
2022-04-14 15:21:40.824400,33.0,33.891,32.021,32.082,27.44,24.241
2022-04-14 15:21:51.182400,32.998,33.893,32.011,32.103,27.44,24.251
2022-04-14 15:22:01.539400,33.0,33.904,31.987,32.085,27.467,24.26
2022-04-14 15:22:11.897400,32.987,33.896,31.982,32.066,27.459,24.265
2022-04-14 15:22:23.980400,32.987,33.885,32.024,32.072,27.448,24.268
2022-04-14 15:22:34.336400,32.985,33.891,32.006,32.069,27.43,24.27
2022-04-14 15:22:44.693400,32.992,33.885,32.019,32.072,27.425,24.268
2022-04-14 15:22:55.048400,32.987,33.885,31.993,32.074,27.433,24.275
2022-04-14 15:23:05.404400,32.985,33.899,32.008,32.087,27.446,24.257
2022-04-14 15:23:15.759400,32.974,33.891,31.985,32.082,27.433,24.257
2022-04-14 15:23:26.114400,32.974,33.875,31.982,32.061,27.406,24.236
2022-04-14 15:23:36.470400,32.958,33.87,31.985,32.069,27.422,24.228
2022-04-14 15:23:46.824400,32.987,33.878,31.977,32.082,27.425,24.231
2022-04-14 15:23:57.181400,32.979,33.859,31.972,32.074,27.393,24.241
2022-04-14 15:24:09.273400,32.977,33.883,31.985,32.093,27.435,24.233
2022-04-14 15:24:19.630400,32.995,33.885,31.964,32.074,27.409,24.244
2022-04-14 15:24:29.985400,32.979,33.875,31.972,32.074,27.404,24.236
2022-04-14 15:24:40.341400,32.971,33.875,31.974,32.077,27.404,24.228
2022-04-14 15:24:50.697400,32.974,33.885,31.974,32.069,27.425,24.212
2022-04-14 15:25:01.052400,32.969,33.893,32.006,32.079,27.409,24.223
2022-04-14 15:25:11.412400,32.966,33.912,31.987,32.098,27.448,24.247
2022-04-14 15:25:21.769400,32.99,33.885,31.972,32.09,27.467,24.233
2022-04-14 15:25:32.126400,32.987,33.893,31.985,32.082,27.454,24.244
2022-04-14 15:25:42.482400,32.977,33.904,31.985,32.087,27.485,24.26
2022-04-14 15:25:54.327400,32.974,33.906,31.977,32.087,27.469,24.252
2022-04-14 15:26:04.682400,32.995,33.906,31.982,32.085,27.464,24.278
2022-04-14 15:26:15.038400,33.003,33.922,32.019,32.087,27.477,24.268
2022-04-14 15:26:25.393400,32.985,33.906,32.011,32.085,27.503,24.27
2022-04-14 15:26:35.748400,33.026,33.929,32.054,32.108,27.51,24.265
2022-04-14 15:26:46.105400,33.037,33.943,32.079,32.121,27.518,24.262
2022-04-14 15:26:56.461400,33.078,33.97,32.102,32.139,27.556,24.265
2022-04-14 15:27:06.817400,33.037,33.953,32.068,32.14,27.533,24.243
2022-04-14 15:27:17.174400,33.089,33.987,32.122,32.181,27.565,24.252
2022-04-14 15:27:27.531400,33.118,33.994,32.096,32.159,27.566,24.277
2022-04-14 15:27:39.447400,33.091,34.026,32.111,32.185,27.605,24.299
2022-04-14 15:27:49.802400,33.081,34.04,32.106,32.193,27.618,24.276
2022-04-14 15:28:00.164400,33.081,34.002,32.088,32.179,27.628,24.308
2022-04-14 15:28:10.518400,33.073,33.975,32.088,32.17,27.579,24.284
2022-04-14 15:28:20.874400,33.055,33.983,32.075,32.164,27.571,24.272
2022-04-14 15:28:31.230400,33.076,33.972,32.066,32.155,27.563,24.28
2022-04-14 15:28:41.600400,33.081,33.964,32.084,32.147,27.569,24.259
2022-04-14 15:28:51.955400,33.037,33.966,32.097,32.155,27.527,24.272
2022-04-14 15:29:02.311400,33.05,33.945,32.097,32.145,27.506,24.257
2022-04-14 15:29:12.667400,33.05,33.961,32.089,32.153,27.49,24.28
2022-04-14 15:29:24.500400,33.055,33.953,32.089,32.147,27.508,24.301
2022-04-14 15:29:34.856400,33.055,33.951,32.1,32.147,27.506,24.301
2022-04-14 15:29:45.211400,33.068,33.974,32.087,32.158,27.532,24.32
2022-04-14 15:29:55.566400,33.057,33.977,32.073,32.153,27.532,24.314
2022-04-14 15:30:05.923400,33.068,33.979,32.089,32.171,27.548,24.322
2022-04-14 15:30:16.278400,33.055,33.969,32.084,32.168,27.55,24.301
2022-04-14 15:30:26.632400,33.042,33.956,32.076,32.168,27.545,24.307
2022-04-14 15:30:36.987400,33.047,33.969,32.081,32.171,27.55,24.304
2022-04-14 15:30:47.343400,33.063,33.977,32.081,32.166,27.55,24.307
2022-04-14 15:30:57.699400,33.065,33.982,32.076,32.163,27.592,24.304
2022-04-14 15:31:09.646400,33.065,33.969,32.058,32.166,27.569,24.333
2022-04-14 15:31:20.003400,33.044,33.982,32.068,32.174,27.592,24.314
2022-04-14 15:31:30.357400,33.057,33.953,32.071,32.171,27.582,24.317
2022-04-14 15:31:40.713400,33.042,33.945,32.081,32.16,27.569,24.304
2022-04-14 15:31:51.069400,33.034,33.924,32.066,32.113,27.574,24.304
2022-04-14 15:32:01.425400,33.037,33.919,32.06,32.118,27.55,24.288
2022-04-14 15:32:11.780400,33.018,33.911,32.055,32.116,27.545,24.283
2022-04-14 15:32:22.135400,33.018,33.906,32.058,32.111,27.519,24.312
2022-04-14 15:32:32.491400,32.984,33.875,32.06,32.092,27.529,24.328
2022-04-14 15:32:42.846400,33.002,33.885,32.05,32.105,27.534,24.325
2022-04-14 15:32:54.764400,32.987,33.877,32.042,32.087,27.537,24.343
2022-04-14 15:33:05.122400,32.987,33.872,32.031,32.097,27.548,24.317
2022-04-14 15:33:15.478400,32.976,33.88,32.024,32.074,27.545,24.309
2022-04-14 15:33:25.835400,32.974,33.875,32.021,32.074,27.548,24.283
2022-04-14 15:33:36.190400,32.96,33.856,32.018,32.069,27.558,24.286
2022-04-14 15:33:46.546400,33.002,33.884,32.051,32.103,27.585,24.275
2022-04-14 15:33:56.901400,32.979,33.868,32.035,32.086,27.6,24.259
2022-04-14 15:34:07.258400,33.005,33.876,32.048,32.095,27.617,24.287
2022-04-14 15:34:17.613400,33.041,33.921,32.08,32.117,27.621,24.282
